review,polarity
Memudahkan saya untuk konsultasi dokter tanpa harus bertemu langsung,Positif
Konsultasi keluhan jadi mudah dan ga perlu ribet antri di rumah sakit,Positif
Kenapa tidak ada dokter umum yang gratis iya Padahal penting banget,Negatif
"Tertolong banget dengan adanya app ini apalagi di jaman Covid ini agak takut kalo ke rumah sakit...bahkan bisa juga lho konsultasi utk hewan peliharaan kita, konsultasi gigi dll...pokoknya tertolong sekali...terima kasih halo doc",Positif
Penjelasan Dokter lengkap dan ramah. Terimakasih,Positif
Halodoc selalu menjadi yang terbaik dan selalu bisa diandalkan.. 🥰😍,Positif
"Malam2 saat sakit dan bingung nanya kemana, ada halodoc yang siap menjawab semua keluhan dan obat pun langsung diantar, hanya ada kendala di pengiriman kadang driver tidak bisa kontak langsung teleponnya",Negatif
Yang jelas lewat online untuk saat ini adalah pilihan yang tepat dan aman,Positif
Cukup membantu tapi transaksi biaya nya lebih di permudah lagi ya,Negatif
Percakapan dengan dokter sangat jelas dan arahannya bagus.....,Positif
"Mau tanya, vaksin c19 ke 1 saya tgl 29 Maret 2021, mau daftar utk vaksin ke2 ga bisa,karena kode kupon belom dikirim, sudah lewat 3 hari,gimana urusnya,terima kasih",Positif
"Sangat membantu, bisa berkonsultasi langsung tanpa ke dokter.",Positif
Manteb sih. Ke dokter ga susah dan g mahal juga 👍👍👍👍,Positif
"kenapa sudah bayar tapi dokternya sibuk? Chat ulang ga digubris. Blum juga nyapa udah bilang dokternya sibuk. Pdhal gopay sudah kpotong. Pengembalian dana 5 hari terlalu lama.Mohon diprtimbngkan jika dokter tdk mau gubris,lebih baik dilaporkan saja.Sibuk ngapain coba? kalo berani daftar halodoc sdh resiko hrs nerima permintaan konsultasi pasien manapun donk jgn diemin gajls.REFUND lebih flexible 1x24 jam.RESPON Selama sesi berbayar adalah hak pasien, JANGN MAKAN GAJI BUTA. CHAT 30 MNT DIEM2 BAE?",Negatif
"Tepat hari ini tanggal 8 Maret 2021 saldo di ATM saya di ambil 39.000 karna program yang sedang di adakan oleh hallodocter karna kemaren ada yang telfon dan mengatasnamakan CS hallodocter. Saya merasa di rugikan dan saya ingin berhenti , bagaimana cara untuk berhenti dari langganan itu ????",Negatif
"Transaksi gagal tp saldo tetap kepotong, pas diliat riwayat transaksinya gak ada",Negatif
"layanan proses cepat, catatan untuk pasien dengan status gejala covid, para dokter di kasih himbauan untuk mengasih pil tidur, sesuai dosis yang di perlukan, orsng sakit butuh istirahat yang cukup",Positif
"Semua untuk beli obat dan layanan dokter bagus, tetapi ada satu gangguan cukup besar ya itu tidak bisa ganti nomor jadi kalau nomor ganti tidak bisa pakai email lama dan semua riwayat transaksi sebelumnya hilang. Hanya satu masalah ini dengan aplikasi",Negatif
"Selalu senang menggunakan aplikasi ini.. fast respon, obat juga bs lgsg diantar setelah di beri resep, pelayanan 24 jam dan sering mendapatkan dokter yang baik serta informatif...terima kasih halodoc",Positif
